,,,,,,,,,,,,,,,,,,,,,
Coordenada,,Brazo derecho,,,,,,,,,Coordenada,,Brazo izquierdo,,,,,,,,
X,Y,Alcanza Z=180,Alcanza Z=110,J1,J2,J3,J4,J5,J6,J7,X,Y,Alcanza Z=180,Alcanza Z=110,J1,J2,J3,J4,J5,J6,J7
200,-450,1,1,13.3087,-72.0694,23.7763,288.7210,25.6316,-202.9780,-84.5715,200,-450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
200,-350,1,1,9.99329,-72.3337,46.7214,245.797,25.8392,-156.35,-84.4504		,200,-350,1,1,-166.2990,-105.3660,-0.6725,152.3550,116.2730,74.9935,106.515		
200,-250,1,1,14.3062,-71.202,65.5132,215.999,39.9551,-121.838,-86.7589		,200,-250,1,1,-148.1190,-99.1768,27.5060,149.5050,124.7070,70.1869,109.857		
200,-150,0,0,34.1202,-68.9206,78.2759,203.407,66.5008,-100.21,-93.5053		,200,-150,1,1,-130.1290,-92.3095,49.7586,148.1090,127.5610,68.6326,111.052		
200,-50,0,0,74.9918,-61.8857,78.9998,209.591,95.0139,-74.7875,-103		,200,-50,1,1,-107.4670,-83.9371,67.9420,150.3260,122.6160,72.6866,110.027		
200,50,1,1,108.055,-81.961,67.7934,211.439,121.423,-70.9457,-110.026		,200,50,1,1,-74.9916,-61.8871,78.9998,150.4090,95.0147,74.7886,103		
200,150,1,1,130.795,-90.4248,49.5492,213.894,126.365,-66.9446,-111.437		,200,150,1,1,-34.2118,-70.9342,78.3514,156.4950,67.5306,102.0000,93.7366		
200,250,1,0,148.749,-97.4604,27.2506,212.556,123.638,-68.6928,-110.636		,200,250,1,1,-14.5001,-73.1832,65.6377,142.9650,41.2446,124.0130,86.5909		
200,350,1,1,166.816,-103.952,-0.985999,209.666,115.418,-73.8393,-107.728		,200,350,1,1,-10.1311,-74.2232,46.9148,113.7980,27.5557,-202.2710,83.8477		
200,450,0,0,0,0,0,0,0,0,0		,200,450,1,1,-13.3791,-73.7830,24.0250,73.6848,27.1517,-158.4280,83.5592		
300,-450,1,1,25.8651,-80.4275,19.1747,273.421,49.6477,-186.916,-64.7394		,300,-450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
300,-350,1,1,24.5117,-80.8846,40.7737,256.384,51.0175,-160.636,-64.9541		,300,-350,1,1,-167.5000,-94.5203,-8.9775,146.0520,110.5550,85.3803,101.916		
300,-250,1,1,30.1648,-77.5988,56.9096,241.799,58.8274,-134.654,-65.8773		,300,-250,1,1,-153.1510,-72.7151,17.0973,126.0100,105.9240,71.6968,111.991		
300,-150,1,1,46.1705,-70.0647,66.1596,233.622,73.0738,-110.281,-68.7019		,300,-150,1,1,-131.9820,-65.5168,39.0824,124.8560,106.7300,71.0401,103.629		
300,-50,1,1,73.9815,-61.8738,65.6986,233.136,89.5648,-89.6477,-77.4169		,300,-50,1,1,-105.7010,-61.6200,55.8130,125.5140,102.4560,76.8591,91.3168		
300,50,1,1,105.781,-59.6613,55.5949,235.437,100.825,-75.9429,-91.7659		,300,50,1,1,-74.4575,-63.8209,65.8987,127.5020,91.1938,90.6456,77.4305		
300,150,1,1,132.531,-63.7242,38.8329,236.354,105.17,-70.1946,-104.608		,300,150,1,1,-46.8975,-71.9302,66.3611,126.6720,74.7101,111.3290,68.7036		
300,250,1,0,153.898,-71.2161,16.804,235.445,104.527,-70.9455,-113.348		,300,250,1,1,-30.8974,-79.4082,57.1373,118.4200,60.5509,-224.4520,65.5605		
300,350,1,1,167.5,-94.5203,-8.9775,213.948,110.555,-85.3803,-101.916		,300,350,1,1,-25.1802,-82.6107,41.0447,104.2630,52.7865,-198.9750,64.2775		
300,450,0,0,0,0,0,0,0,0,0		,300,450,1,1,-26.4284,-81.9972,19.4985,87.9516,51.2442,-173.3680,63.7053		
400,-450,1,1,40.997,-74.5862,5.12414,272.189,62.5811,-184.058,-55.095		,400,-450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
400,-350,1,1,40.314,-74.8794,26.1021,261.954,63.6502,-161.332,-54.8579		,400,-350,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
400,-250,1,1,45.655,-70.9239,40.0972,253.58,68.3131,-139.508,-55.8728		,400,-250,1,1,-157.5630,-60.7375,0.3832,116.0030,94.2193,85.4692,114.828		
400,-150,1,1,58.109,-63.2382,47.0273,248.337,75.7813,-119.151,-59.5143		,400,-150,1,1,-133.3140,-53.2685,22.3810,115.1810,94.6485,85.2110,101.017		
400,-50,1,1,78.6822,-54.5891,46.041,246.392,83.9256,-102.13,-68.7644		,400,-50,1,1,-105.9300,-51.6087,37.6442,114.8240,91.7629,90.9554,83.9414		
400,50,1,1,105.808,-49.7743,37.3761,246.158,90.0982,-90.3999,-84.6565		,400,50,1,1,-79.4061,-56.3856,46.2977,114.3940,85.6467,102.7250,68.5248		
400,150,1,1,133.873,-51.6234,22.0897,246.029,93.0995,-84.7113,-102.409		,400,150,1,1,-59.0597,-64.9279,47.2881,112.3360,77.5296,119.7260,59.2755		
400,250,1,0,158.422,-59.4895,0.0535051,245.465,92.8807,-85.0584,-116.636		,400,250,1,1,-46.6120,-72.5270,40.3801,107.1590,70.0650,-220.0690,55.3799		
400,350,0,0,0,0,0,0,0,0,0		,400,350,1,1,-41.1880,-76.3842,26.4224,99.0751,65.3317,-198.5380,54.0481		
400,450,0,0,0,0,0,0,0,0,0		,400,450,1,1,-41.7128,-75.9300,5.4981,89.2759,64.0372,-176.1600,53.9493		
500,-450,1,1,58.4496,-61.7181,-20.5377,274.203,70.2933,-189.043,-54.1852		,500,-450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
500,-350,1,1,56.0618,-63.177,3.18168,266.603,70.3638,-166.564,-52.8738		,500,-350,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
500,-250,1,1,60.4308,-60.1019,16.8228,260.724,72.898,-147.174,-54.4471		,500,-250,1,1,-167.3840,-57.7529,-26.4903,109.3370,86.4691,104.7560,121.026		
500,-150,1,1,71.0754,-54.0667,22.9408,256.685,76.8984,-130.156,-59.4712		,500,-150,1,1,-141.1760,-47.9851,-1.2062,108.8210,87.6119,102.6590,104.732		
500,-50,1,1,88.925,-47.4593,21.847,254.392,81.2043,-116.36,-69.9925		,500,-50,1,1,-113.8400,-45.5377,14.0549,108.0070,86.1237,107.1250,85.7501		
500,50,1,1,113.9,-43.9211,13.7199,253.251,84.6014,-106.847,-86.976		,500,50,1,1,-89.5247,-49.0971,22.1688,106.7370,82.8098,116.6490,69.3261		
500,150,1,1,141.904,-46.6527,-1.56211,252.628,86.2527,-102.425,-106.625		,500,150,1,1,-71.9632,-55.6084,23.2626,104.4070,78.5275,130.4040,58.9233		
500,250,1,0,167.5,-57.6412,-26.5459,250.895,86.3255,-104.738,-121.319		,500,250,1,1,-61.3510,-61.5319,17.1628,100.4600,74.4858,-212.6990,53.736		
500,350,0,0,0,0,0,0,0,0,0		,500,350,1,1,-56.8756,-64.4749,3.5608,94.8098,71.8085,-193.5010,51.8805		
500,450,0,0,0,0,0,0,0,0,0		,500,450,1,1,-58.9996,-62.8024,-20.0778,87.5453,71.4039,-171.2440,52.8124		
600,-450,0,0,0,0,0,0,0,0,0		,600,-450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-350,1,1,80.4564,-47.8432,-35.3189,271.609,74.7964,-180.706,-62.6293		,600,-350,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-250,1,1,80.9404,-47.5028,-16.1879,266.335,75.5399,-160.428,-62.5975		,600,-250,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-150,1,1,90.7269,-44.1792,-8.92901,262.771,77.4861,-145.102,-68.9348		,600,-150,1,1,-161.2100,-49.7741,-39.7093,103.0550,82.2753,126.0090,118.006		
600,-50,1,1,108.667,-40.9095,-10.0171,260.469,79.664,-133.629,-81.6999		,600,-50,1,1,-133.1330,-42.4094,-18.8568,102.5050,82.4291,126.5880,98.2812		
600,50,1,0,133.731,-41.2732,-19.2902,259.141,81.2738,-126.577,-100.336		,600,50,1,1,-108.6710,-42.2428,-9.5950,101.0830,80.9396,133.6430,80.1987		
600,150,1,0,162.033,-49.1402,-40.1866,258.771,81.4101,-126.069,-120.347		,600,150,1,1,-91.1377,-45.4948,-8.5055,98.7752,78.7769,-214.9260,67.7329		
600,250,0,0,0,0,0,0,0,0,0		,600,250,1,1,-81.4332,-48.6981,-15.7369,95.3086,76.7329,-199.6960,61.3482		
600,350,0,0,0,0,0,0,0,0,0		,600,350,1,1,-80.7080,-48.8121,-34.7678,90.2464,75.6956,-179.5740,61.0331		
600,450,0,0,0,0,0,0,0,0,0,600,450,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
